SMILES,"Water solubility {measured, converted}"
CCCC(=O)OCC,-1.3749
CCNC(=S)NCC,-2.2354
CN(CCO)CCO,0.9239
CCCC(=O)OCCOC(=O)CCC,-2.6069
CCCCOC(=O)\C=C\C(=O)OCCCC,-2.6595
COCCOC(=O)CCCCC(=O)OCCOC,-1.2665
CC(C)=CCC\C(C)=C/CO,-3.1882
CC(C)=CCC\C(C)=C/CO,-2.4631
OC1=CC=C(O)C=C1.O=C1C=CC(=O)C=C1,-1.7305
CCCCC(=O)CC,-1.4242
O=C1CNC(=O)CN1,-0.8312
COC(=O)CCC(=O)OC,-0.7668
CCCCCC(=O)CC,-1.693
COC(=O)CCCCCCCCC(=O)OC,-3.2831
CCC1CO1,0.1197
BrCC#C,-0.9022
CCCS,-1.6021
ClCC=C,-1.3562
ClCC#N,0.1221
NCCN,1.2211
O=CC=O,1.2363
COC=C,-0.5879
COC=O,0.5832
OCCS(O)(=O)=O,0.8992
CC(O)CC(C)(C)O,0.9275
C[N+](C)(C)CC([O-])=O,0.7173
CC(C)OP(C)(F)=O,0.8536
C[Si](C)(C)O[Si](C)(C)C,-5.242
CCOP(=O)(OCC)OP(=O)(OCC)OCC,0.5373
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,-6.8424
CCCCOP(O)(=O)OCCCC,-1.0874
COC(C)(C)CC(C)=O,0.3326
CCCC(C)C,-3.7893
CC(O)CCO,1.0452
CC(O)CC=O,1.055
CCCC(O)=O,-0.1669
C\C=C\C(O)=O,0.0382
COCC(C)O,1.0452
CN(C)CCO,1.0499
CC(C)CC(C)O,-0.7945
NC(=O)CC(N)=O,-0.0899
NC(=O)NC(N)=O,-0.8313
CC(C)OC(C)C,-1.0649
CC(=O)OC(C)=O,0.0702
CCOP(=O)(OCC)OC1=NNC(C)=C1,-2.3696
CC1=CC=CC(Cl)=C1,-3.5228
CC1=CC=NC(C)=C1,0.4471
CC1OC(C)OC(C)OC(C)O1,-2.8997
CCOC(=O)CC(C)C,-1.8135
NC1=NC(N)=NC(N)=N1,-1.5916
OC1=NC(O)=NC(O)=N1,-1.8098
CC(C)CC(O)CC(C)C,-2.5108
CC(C)CC(C)OC(C)=O,-2.0451
CC1CCCCC1,-3.8459
OC1=CC=CC=C1,-0.0556
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.8955
CCOCCOC(=O)CCCCC(=O)OCCOCC,-2.065
CCC#CC(C)O,-0.4121
CC(C)COC=C,-1.5236
CN(C)CCCCl,-0.1985
CN(C)CCCN,0.9906
BrCCCBr,-2.0747
OCCC#N,1.1483
CNCCO,1.1243
NNCCO,1.1186
C=COC=C,-0.9597
NC(=O)CCC(N)=O,-1.5464
CC(C)=NNC(N)=O,-0.2674
CC(C)CCOC=O,-1.5206
COCCOC(C)=O,0.9276
BrCCCCBr,-2.7902
ClCCCCCl,-0.92
ClC\C=C\CCl,-2.1675
OCCCCO,1.0452
OCC#CCO,0.6379
CCCCCS,-2.8248
CCCCNC,1.0597
ClCCOC=C,-2.3951
CCSSCC,-2.6101
C1CCCCC1,-3.1847
CC(C)CNCC(C)C,-1.769
CC(O)CNCC(C)O,0.81
OC(=O)COCC(O)=O,0.4927
O=N(=O)OCCOCCOCCON(=O)=O,-1.561
NCCNCCN,0.9864
NCCNCCO,0.9823
OCCOCCO,0.9742
OCCSCCO,0.913
C1CCCNCC1,0.234
CCCCNCCO,0.9311
COCCOCCO,0.9203
CCCCCCCCCl,-4.4829
CCCCCCCCN,-2.8104
ClCCOCOCCCl,-1.3461
CCCCOCCOC(C)=O,-1.2504
CCOCCOCCOC(C)=O,0.754
NCCNCCNCCN,1.5136
OCCOCCOCCO,0.8234
CCCCOCCOCCO,0.7899
COCCOCCOCCO,0.7846
CCCCCCCCCCCC,-7.6631
OCCCCCCCCCCO,-2.0951
CCOCCOCCOCCO,0.749
NCCNCCNCCNCCN,1.5381
CCCCCCOCCOCCO,-1.049
OCCOCCOCCOCCO,0.7117
CCCCCCCCCCCCNC(N)=N,-2.5574
CCCCCCCCCCCCCCO,-6.0502
CCCCCCCCCCCCCCCCCCCCCC(O)=O,-7.3281
CCCCCCCCCCCCCCCCCCCC,-8.1724
NC(N)=N,-1.5066
CC=C,-2.3231
CC(C)(O)C=C,1.0648
CCS(=O)(=O)C(C)(C)S(=O)(=O)CC,-1.2187
FC1(F)C(F)(F)C(F)(F)C1(F)F,-3.9276
CN(C)P(F)(=O)N(C)C,0.8121
OC(=O)C1C(C(O)=O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,-2.0457
ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,-6.0976
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,-5.6657
C=CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,-2.3464
CC(N)(CO)CO,0.9782
CCC(N)(CO)CO,0.9239
CCC(CC)(CO)CO,0.1798
CCCCCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,-6.4131
ClCCOP(=O)(OCCCl)OCCCl,-1.6105
CC(=O)CO,1.1303
COC(C)=C,1.142
FC(F)=C(F)F,-2.8001
CC1(C)N(CO)C(=O)NC1=O,0.8009
ClC1=CC=C(C=C1)S(=O)(=O)C1=C(Cl)C=C(Cl)C(Cl)=C1,-6.6594
NC1=CC=C(C=C1)S(=O)(=O)NC1=CN=CC=N1,-3.6995
NC1=CC=C(C=C1)S(=O)(=O)NC#N,-1.7106
CCC(C)C(O)=O,-0.3559
NC1=CC=C(O)C2=C1C(=O)C1=C(C=CC=C1)C2=O,-3.824
OS(=O)(=O)C1=CC=CC2=C1C(=O)C1=C(C2=O)C(=CC=C1)S(O)(=O)=O,0.2572
OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1,-3.7022
NC1=CC2=C(C=C1)C(=O)C1=C(C=CC=C1)C2=O,-6.1366
ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,-4.453
COCCOC(=O)C1=C(C=CC=C1)C(=O)OCCOC,-1.5213
CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,-7.2493
COC1=C(OC)C2=C(C=C1)[C@H](OC2=O)[C@@H]1N(C)CCC2=C1C=C1OCOC1=C2,-4.1065
O[C@H](C1CC2CCN1CC2C=C)C1=CC=NC2=C1C=CC=C2,-3.0887
NC1=CC2=C(C=C1)C(=CC(=C2)S(O)(=O)=O)S(O)(=O)=O,-0.1221
CCNC1=C2C=CC=CC2=CC=C1,-3.1922
CC1(C)N(Cl)C(=O)N(Cl)C1=O,-2.5955
ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,-2.9928
[O-][N+](=O)C1=CC=C(Cl)C=C1C(F)(F)F,-3.3533
CCOP(=S)(OCC)OC1=NN(C(=O)C=C1)C1=CC=CC=C1,-3.5319
OC1=CC=C(NC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)C=C1,-5.444
OC1=C2C=C(NC3=CC=CC=C3)C=CC2=CC(=C1)S(O)(=O)=O,-1.9763
CC(C)N1N=C(C)C=C1OC(=O)N(C)C,0.6752
CC1=CC(=C(O)C(CC2=CC(C)=CC(=C2O)C(C)(C)C)=C1)C(C)(C)C,-7.2311
CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,0.0985
OC(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,-3.4886
O=C1CCC2=C(O1)C=CC=C2,-1.6932
CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1,-2.213
COC1=CC=C(C=O)C=C1OC,-1.4199
OS(=O)(=O)C1=CC=C2C=CC=CC2=C1,0.5133
CCOC1=CC=C(C=O)C=C1OC,-2.1913
COC(=O)C1=CC=C(C=C1)C(=O)OC,-4.0095
N1C=NC2=C1N=CN=C2,0.6194
S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=C(S1)C=CC=C2,-4.5218
O=C1NC(=O)C(=O)N1,-0.4039
CC1=C(C=C(C=C1)N(=O)=O)S(O)(=O)=O,0.4873
CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(C\C=C\C=C)=C2C)C1(C)C,-6.2155
COC(=O)C(\C)=C/C1C(C(=O)OC2CC(=O)C(C\C=C\C=C)=C2C)C1(C)C,-4.6168
CCOC1=CC(C=O)=CC=C1O,-1.7703
NC1=CC=C(C=C1)S(O)(=O)=O,-1.2051
CC(=O)C1=CC=C(C)C=C1,-2.5571
CC(O)CN(CC(C)O)CC(C)O,0.6374
CCNC1=NC(NCC)=NC(Cl)=N1,-4.1256
N(NC1=CC=CC=C1)C1=CC=CC=C1,-2.921
CC(=O)NC1=CC=C(N)C=C1,-0.3637
OCCNC1=CC=CC=C1,-0.4745
CCCCC(CC)C=O,-2.5059
CCCC(C)C=O,-1.3774
CC(C)=CCCC(=C)C=C,-4.3861
CC(N)=O,1.2286
CC(=O)CC(C)(C)O,0.9349
CCCC=O,-0.0067
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,-5.6768
CC(O)CNCCN,0.9275
[Cl-].COCC[Hg+],-0.771
OC(=O)CSCC(O)=O,0.4255
CCCCCCC(C)O,-2.0655
NCCCCCCN,1.3264
CCCCOCCOCCOC(C)=O,-0.8188
CCCCCCCCCC,-6.4372
CCCCCCCCCCCCN,-3.3759
O=C=O,-1.4748
ClC(Br)Br,-1.8873
C[As](O)(O)=O,0.2622
[Cl-].CO[P+](OC)(OC)OC,0.322
CC(C)(N)CO,1.0499
FC(F)(Br)C(F)(F)Br,-4.9376
CC1(C)C(CCC1(C)C(O)=O)C(O)=O,-1.4207
CC(=C)C1C2OC(=O)C1C1(O)CC3OC33C(=O)OC2C13C.CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC33C(=O)OC2C13C,-2.1672
OCC(CO)(CO)[N+]([O-])=O,1.1631
CC(=O)OCC1OC(COC(C)=O)(OC2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C1OC(C)=O,-2.8726
OCC(CO)(CO)COCC(CO)(CO)CO,-1.9582
BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr,-4.9405
CC1(C)CC(=O)CC(=O)C1,-1.5276
CCCC1OC1(CC)C(N)=O,-1.1745
CC(=O)C(O)=O,1.0552
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)C4=C(Cl)C=CC(O)=C4C(O)=C3C(=O)[C@]2(O)C(O)=C(C(N)=O)C1=O,-2.4869
CC(=O)\C=C\C1C(C)=CCCC1(C)C,-3.2587
CN1C(=O)OC(C)(C)C1=O,-0.4568
CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,-2.9499
NC1=CC=C(C=C1)S(=O)(=O)NC(=O)C1=CC=CC=C1,-2.9501
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC(C)=CC=N1,-3.0391
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,-3.2898
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,-3.6282
CC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1,-3.1168
CC(O)C(=O)O[Ag],-0.4702
BrN1C(=O)CCC1=O,-1.0831
ClN1C(=O)CCC1=O,-0.9702
CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,-5.565
CC(C)(C)C1=CC=CC(=C1O)C(C)(C)C,-4.9166
OC1=CC=CC2=C1C(=O)C1=C(C=CC=C1)C2=O,-4.4213
CN1N(C(=O)C(I)=C1C)C1=CC=CC=C1,-2.594
OC1=CC=C(Cl)C2=CC=CN=C12,-3.9756
COC1=CC2=C(C=CN=C2C=C1)C(O)C1CC2CCN1CC2C=C,-2.8122
COC1=C(OC)C(C(O)=O)=C(C=C1)C(=O)CC1=C(CCN(C)C)C=C2OCOC2=C1OC,-2.7567
CN(C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1,-1.699
ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O,-5.569
OC(=O)CCCC1=CNC2=C1C=CC=C2,-2.9101
OC(=O)C(\O)=C(\O)C(O)=O,-1.699
OC(=O)C1=CC(I)=CC(I)=C1O,-3.307
COC(=O)C1=CC=CC=C1N,-1.7246
N(\N=N/C1=CC=CC=C1)C1=CC=CC=C1,-2.596
CCC(=O)O[Na],0.7164
[Na+].CNC([S-])=S,0.7473
Cl.NC(CCC(O)=O)C(O)=O,0.3159
NNC1=CC(=CC=C1)S(O)(=O)=O,-0.8275
NCC1=CC=C(C=C1)S(N)(=O)=O,0.321
CC(=C)C1CCC(C)=CC1,-4.2552
CC(=C)C1CCC(C)(O)CC1,-1.8458
OC(=O)CN(CC(O)=O)CC(O)=O,-0.5101
CCC(=O)OCC(COC(=O)CC)OC(=O)CC,-1.9286
OC1=C(O)C=C(C=O)C=C1,-1.3402
NC(CC1=CC=CS1)C(O)=O,-0.8356
CCN(CCO)CCO,0.8755
O=C1OC(CN2CCOCC2)CN1\N=C\C1=CC=C(O1)N(=O)=O,-2.6359
C(CNCC1=CC=CC=C1)NCC1=CC=CC=C1,-1.7865
N#CCC1=CC=CC=C1,-3.0687
[Na+].CN(C)C1=CC=C(C=C1)\N=N\S([O-])(=O)=O,-1.0991
OC(=O)CCC1CCCC1,-1.7691
CCCCC(CC)COC(=O)\C=C\C(=O)OCC(CC)CCCC,-3.5321
CCCCOC(=O)CCC(=O)OCCCC,-3.0006
CCOC(=O)\C=C/C(=O)OCC,-1.0899
[Na]OC=O,0.8049
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,-7.6637
O=C1CSC(=S)N1,-1.7723
OC1=CC=NC(S)=N1,-2.2573
OC1=CC=CC=N1,1.0218
CC(=O)NCCO,0.9867
NC(=S)NNC(N)=S,-1.7965
[Na+].NC(CCC(O)=O)C([O-])=O,0.3573
[Na+].[Na+].[S-]C(=S)NCCNC([S-])=S,-0.1078
[Cl-].[Cl-].C1C[NH2+]CC[NH2+]1,0.4112
OC(=O)CNCC(O)=O,-0.7494
CCCCCCCCCCCC(O)=O,-4.6196
CCCCCCNCCCCCC,-3.1574
CCCCOCCOCCOCCO,0.6855
ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl,-5.2594
CCC(C)C1(CC)C(=O)NC(O[Na])=NC1=O,0.1528
OC(=O)CC1(CC(O)=O)OCOC1=O,-0.611
CC(C)C(O)C(C)(C)CO,-0.8863
[Na+].[Na+].CO[As]([O-])[O-],0.3711
OC(=O)CF,1.1077
OC(=O)C(O)=O,0.388
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,-2.9686
CC(O)C(N)C(O)=O,0.067
OC(=O)C1C2CCC(O2)C1C(O)=O,-0.2699
O[C@H]1COC(O)[C@H](O)[C@H]1O,0.5225
NS(=O)(=O)C1=CC2=C(C=C1C(F)(F)F)N=CNS2(=O)=O,-0.8186
CN(C)CCN(CC1=CC=C(Cl)S1)C1=NC=CC=C1,-2.1674
N1C2=C(C=CC=C2)N=C1C1=CSC=N1,-3.6048
COC1=CC(O)=CC=C1,-2.3979
[Na]OC(=O)CCC(=O)O[Na],0.0914
[K+].[C-]#N,1.0436
C1CN1,1.3658
CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,0.5433
NC1=NC(N)=C(OC2OC(CO)C(O)C(O)C2O)C(=O)N1,-1.4832
OC(=O)CC1=CC=C(O)C=C1,-0.3991
C1COC2(C1)CCCO2,-0.1078
C1=CC2=CC=C3C=CC4=CC=C5C=CC6=CC=C1C1=C6C5=C4C3=C21,-9.3315
C1=CC2=C(C=C1)C1=C3C(C=CC4=CC=CC2=C34)=CC=C1,-7.6026
C1=CC2=C(C=C1)C1=C3C2=CC2=CC=CC4=C2C3=C(C=C1)C=C4,-9.1627
N1C2=C(C3=C1C=CC1=C3C=CC=C1)C1=C(C=CC=C1)C=C2,-6.6277
C1=CC2=C(C=C1)C1=C(C=C2)C=CC2=C1C=CC=C2,-7.8207
C1=CC2=C(C=C1)C1=C3C2=CC=CC3=CC2=C1C=CC1=C2C=CC=C1,-8.4806
C1=CC=C2C(=C1)C1=CC=CC3=C1C2=CC=C3,-5.992
C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=CC=C1)C=C2,-7.8097
N1C2=C3C=CC=CC3=CC=C2SC2=C1C1=CC=CC=C1C=C2,-7.9081
N1C2=CC=C3C=CC=CC3=C2SC2=C1C=CC1=CC=CC=C21,-6.8786
N1C2=C(SC3=CC=C4C=CC=CC4=C13)C=CC=C2,-5.8957
N1C2=CC=CC=C2SC2=C3C=CC=CC3=CC=C12,-6.5727
C1=CC2=C(C=C1)C1=CC3=C(N=C1C=C2)C1=C(C=CC=C1)C=C3,-6.2447
C1C2=C(C=CC=C2)C2=C1C=C1C=CC=CC1=C2,-7.733
N1N=CC2=C1C=CC=C2,-2.1554
N1N=NC2=C1C=NC=N2,-0.2319
N1C=CC=N1,-0.5452
O1C=CC=N1,0.3827
S1C=CN=N1,0.5878
C1CCCCCC1,-3.5149
CCN(CC)C(=O)C(\Cl)=C(/C)OP(=O)(OC)OC,0.5233
COC(=O)\C=C(/C)OP(=O)(OC)OC,0.6495
NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,-3.3242
C(\C=C\C1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,-2.6914
OS(O)(=O)=O.C1CCN2CC3CC(CN4CCCCC34)C2C1,0.3024
OC(=O)CN1C=C(I)C(=O)C(I)=C1,-0.0511
NC(CC1=CC(Br)=C(O)C(Br)=C1)C(O)=O,-1.9281
NC(CC1=CC(I)=C(O)C(I)=C1)C(O)=O,-2.8441
CCS(=O)CCSP(=O)(OC)OC,0.6086
NN,1.4942
OC(O)C(Cl)(Cl)Cl,0.6807
CCN1CC2(COC)C3[C@@H](OC)[C@H]4C1[C@@]3(C1C[C@@]3(O)[C@H](OC(=O)C5=CC=CC=C5)C1[C@]4(OC(C)=O)C(O)C3OC)C(C[C@H]2O)OC,-3.3187
NC(CO)C(O)=O,-0.4217
OC(C(O)C(=O)O[K])C(=O)O[Na],0.3984
OC(C(O)C1=CC=CC=C1)C(O)=O,-1.1499
FC(F)(F)C(Cl)Cl,-1.8623
CCOP(=O)(OCC)O\C=C\Cl,-1.3316
NC(CO)C(O)=O,0.5395
CC(C)N1C(=O)NC(C)=C(Br)C1=O,-2.0604
CCC(C)C(N)C(O)=O,-0.5033
OC(=O)C1=CC(Cl)=CC=C1O,-1.237
FC1=C2C=CC=CC2=CC=C1,-3.4527
CC(=O)NC1=C(C)C=C(F)C=C1,-1.3593
CC(=O)NC1=C(F)C=C(C)C=C1,-1.7403
OC1CC(O)(CC(OC(=O)\C=C\C2=CC=C(O)C(O)=C2)C1O)C(O)=O,-0.9473
CC(C)CC(N)C(O)=O,-1.0456
CP(F)(=O)OC1CCCCC1,-1.6875
CC(N)C(O)=O,0.2674
FC1=CC=C(CCl)C=C1,-2.5442
NC(=N)NCC(O)=O,-1.5123
CCF,-1.3477
OC1=C(Br)C=C(Br)C=C(Br)C1=O,-3.5911
FC1=CC=CC=C1F,-1.0004
CC1=C(CC(N)C(O)=O)N=CN1,0.0727
F[P-](F)(F)(F)(F)F.N#[N+]C1=CC=CC=C1,-1.4438
CC(C)NP(F)(=O)NC(C)C,-0.3574
CCOC(=O)CC(=O)C(F)(F)F,-1.362
CC(O)C(F)(F)F,0.3094
FC(F)(F)C(F)(Cl)Cl,-3.0961
CCC1(C(=O)NC(=O)NC1=O)C1=CC=C(O)C=C1,-2.3015
F[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,-5.4879
OC(=O)C(F)F,1.0176
CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2,-3.3659
CCCC1=CC(F)=CC=C1O,-1.887
NC(=O)N(CCO)\N=C\C1=CC=C(O1)N(=O)=O,-2.6852
NC#N,1.0753
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2O,-1.9484
CC1C2C(CC(C)C3CC(=O)C(C)=C3C2O)OC1=O,-1.945
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,-3.2259
COC1=CC(O)=C2C(=O)C3=CC(O)=CC=C3OC2=C1,-2.9349
CCOC1=CC2=C(C=C1)N=C1C=C(N)C=CC1=C2N,-0.5802
CCC(C)C(N)C(O)=O,-0.7875
OC(=O)CC1=C(O)C=CC(O)=C1,0.7037
NC1=NC=C2NC=NC2=N1,-1.21
OC1CCOC1,1.055
OC(=O)C1=CC(=C(F)C=C1)N(=O)=O,-1.5809
C#CC#C,-0.7241
COCC(F)F,-0.2836
N=C1OC(=N)OC(=N)O1,-3.1109
NC1=CN=CC=C1,1.0263
NC(=O)NCC(O)=O,-0.5809
NC(=O)NCCC(O)=O,-0.8014
OC12CCOC1(NC1=C2C=CC=C1)C1CC2CCN1CC2C=C,-2.6706
CC1CCC(C)(C(O)=O)C1(C)C,-3.027
CC1(C)C2CC(=O)C1(C)CC2=O,-1.9902
CCC12CCCN3CCC4(C(CC1)N(C(C)=O)C1=C(OC)C=CC=C41)C23,-1.3269
OC(=O)C1(O)C2=CC=CC=C2C2=CC=CC=C12,-1.9657
COC1=CC=C2CC3C4C=CC(=O)CC4(CCN3C)C2=C1O,-1.8741
CCC(=O)OC(C(C(C)CN(C)C)C1=CC=CC=C1)C1=CC=CC=C1,-5.0097
CC1(C)CC(C)(CC1C(O)=O)C(O)=O,-1.6388
CC12CCC(CC1)C(C)(C)O2,-1.6442
ClCCS(=O)(=O)CCCl,-1.5031
CN=C(N)N,-1.6135
NC(=O)C(N)=O,-2.3766
CC1=CC=C(C=C1)S(=O)(=O)N(Cl)Cl,-3.466
CC(C)(CC(O)=O)C1CCC(C1)C(O)=O,-1.507
CC(=O)C1CC(CC(O)=O)C1(C)C,-0.5752
OCC(O)C(O)=O,0.9744
OC1=CC=C2C3=C4C=C(O)C(=O)C=C4CC3(O)COC2=C1O,-2.6994
CC(CCC(=O)NCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-5.1495
[Cl-].CC1=CC2=NC3=C(C=C(N)C(C)=C3)[N+](C3=CC=CC=C3)=C2C=C1N,-0.8462
CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O,0.1172
CN(C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-3.5889
CC(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,1.1148
CC1=CC(O)=C(C(O)=O)C(O)=C1,-2.0496
O=C1NC(=O)C(C(=O)N1)N(=O)=O,-2.284
CN1C2CCC1C(C(O)C2)C(O)=O,-0.0173
CC1=CC(=O)C2=C(C=CC=C2O)C1=O,-2.7975
CN1N=CN=C2C(=O)N(C)C(=O)N=C12,-1.9849
CCC(C)C1=CC(=CC(=C1OC(=O)C=C(C)C)[N+]([O-])=O)[N+]([O-])=O,-5.5083
CC1CCC2C1COC(=O)C2C,-1.9249
CCC1CN2CCC1CC2C(O)C1=CC=NC2=CC=CC=C12,-2.6268
OC1CCN2C(O)C3=CC=CC=C3N=C12,-2.106
CN1CC2CC(C1)C1=CC=CC(=O)N1C2,0.6484
COC1=CC=C(C=C1OC)C1OCC2C1COC2C1=CC(OC)=C(OC2OC(CO)C(O)C(O)C2O)C=C1,-3.1259
CC1=C(CCC(O)=O)C(=O)NC1=O,-0.6608
OCOCC(O)C(O)C(O)C(O)CO,0.0196
CC(C)C1=CC2=C(C)C=CC2=C(C)C=C1,-5.4752
OC(=O)C1=CC2=C(OCO2)C=C1C(O)=O,-1.5444
CC(O)C(O)C1=C(O)N=C2N=C(N)N=C(O)C2=N1,-2.9264
COC(=O)C1=C(OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)C=CC=C1,-0.7418
O=N1=CC2=C(C=CC=C2)C=C1,-2.4842
CC1=CC2=C(C(O)=C1)C(O)=C1C(O)=CC=CC1=C2,-3.0585
NC1=NC2=NC(O)=C(O)N=C2C(O)=N1,-5.1655
[Na+].COC(CNC(=O)C1=C(OCC([O-])=O)C=CC=C1)C[Hg]O,-0.0051
CC(N)C(O)C1=CC=CC=C1,-0.8786
O=C1CC(CC(=O)C1)C1=CC=CC=C1,-2.5113
CN(C)C1=CC2=NC3=CC(=CC=C3C=C2C=C1)N(C)C,-2.5787
OCC1=CC(O)=CC=C1O,0.8534
O=NC1=CC=C(NNC(=O)C2=CC=CC=C2)C=C1,-4.6835
C1CC2=C(N1)C=CC=C2,-1.0427
C\C=C(/C)C=O,-0.527
CC1OCCO1,0.8789
O=C1CC2CCC1C2,-1.7565
OC(=O)C1OC(=CC(=O)C1=O)C(O)=O,-1.377
OC(=O)C1=CC(=O)C(O)=C(O1)C(O)=O,-1.377
COC1=CC(=CC=C1O)C(C)=O,-1.5216
CCCC(N)C(O)=O,-0.0687
CC1=CCC(CC1O)C(C)(C)O,-0.7259
OC(=O)C\C(=C/C(O)=O)C(O)=O,0.2816
CC(C)C1=CC(=O)C(C)CC1,-1.8451
OC(=O)C1=CC(=CN=C1)C(O)=O,-2.223
OC(=O)C1=CC=CC(=N1)C(O)=O,-1.5241
CC1CC(CC(C)(C)N1)OC(=O)C1=CC=CC=C1,-1.922
OC(=O)C(=O)NC1=CC=CC=C1,-1.3019
CCC(=O)NCC(O)=O,-1.2544
OC(=O)CC1=CC=C(C=C1)C(O)=O,-1.2557
C[Hg]NC(=N)NC#N,-1.1388
NC(=O)NC(=O)\C=C\C(O)=O,-1.9202
OC(=O)CCC(=O)\C=C\C(O)=O,-1.7588
CCOC(=S)SSC(=S)OCC,-4.9432
C1COC1,1.236
OS(=O)(=O)CS(O)(=O)=O,1.1446
C\C=C\C(O)=O,1.065
NC1=CC=NC=C1,-0.0529
NC1=CC=CC=N1,0.9757
C1CSCCS1,-1.6029
CS(=O)(=O)CCCN=C=S,-1.1074
ClCCSCCCl,-2.3666
OC(=O)CCNCC(O)=O,-0.7527
OCCC=C=CC#CC#C,-1.8907
ClC#N,-0.0105
IC#N,-0.6333
CC1(C)C2CCC1(C)[C@H](O)C2,-2.3202
CC(C)(C(O)=O)C(C)(CC(O)=O)C(O)=O,-0.111
[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,-2.3381
CN1CCC23C4OC5=C2C(CC1C3C=CC4O)=CC=C5OCCN1CCOCC1,-1.2994
CCC1(N2CCCCC2)C(=O)NC(=O)NC1=O,-2.1562
CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,-4.3982
CCC(CC)(C(O)=O)C(O)=O,0.6083
CCC(Br)(CC)C(N)=O,-1.0376
CC1(C)C2CC3C(C2)C13C(O)=O,-2.9419
OC[C@H]1O[C@@](CO)(O[C@H]2OC(CO[C@H]3OC(CO)[C@H](O)C(O)C3O)[C@@H](O)C(O)C2O)C(O)C1O,-0.3962
CCCOP(=O)(OCCC)OCCC,-1.5412
CC(C)=CCl,-1.9569
CC(=C)CO,0.4298
CCC(C)I,-2.9426
CCC(C)S,-1.8346
CC(O)C(C)=O,1.055
CC(C)C1=CC2=CCC3C(C)(CCCC3(C)C(O)=O)C2CC1,-3.7959
CC(O)(C(O)=O)C1=CC=CC=C1,-0.8949
