# TRAINING SET INDEX";"SMILES";"NAME";"MW";"LogS(mols/L)";"REFERENCE";
222;"O[C@@H](c1cc[nH0]c2ccccc21)[C@H](N1CC[C@@H](C2)[C@@H](C1)CC)2";"Hydrocinchonine";296.45;-2.63;25;
223;"O=C(O)CCc1ccccc1";"Hydrocinnamicacid";150.19;-1.41;25;
224;"O=C1C=C2CC[C@H]([C@H](CC[C@@](O)(C(=O)COC(=O)C)[C@@](C)(C[C@@H](O)[C@@H]3([C@@](C)(CC1)2))1)1)3";"Hydrocortisoneacetate";404.51;-4.627;24;
225;"O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C(=O)COC(=O)CC(C)(C)C)[C@](C)(C[C@@H](O)[C@@H]3([C@](C)(CC1)2))1)1)3";"Hydrocortisonetebutate";460.67;-5.51;25;
226;"Oc1ccc(O)cc1";"Hydroquinone";110.11;-0.168;24;
227;"O=C(N)NO";"Hydroxyurea";76.07;1.12;25;
228;"O=C(O)CC[C@H](C)[C@@H](CC[C@H]([C@@H]([C@H](O)[C@@H](O)[C@H](C[C@H](O)CC[C@](C)1([C@H](CC[C@](C)23)4))1)4)2)3";"Hyocholicacid";408.64;-4.35;25;
229;"O=C(OC1C[C@@H](N(C)[C@H](C1)CC1)1)[C@@H](CO)c1ccccc1";"Hyoscyamine";289.41;-1.91;25;
230;"O=C1NCNc2[nH0]c[nH]c21";"Hypoxanthine";136.13;-2.296;26;
231;"O=C(O)[C@@H](C)c1ccc(cc1)CC(C)C";"Ibuprofen";206.31;-3.99;25;
232;"Clc1ccc(cc1[S]([O-])([O-])N)C(=O)NN1c2ccccc2C[C@H]1(C)";"Indapamide";365.87;-3.586;26;
233;"[nH0]1[nH]c2ccccc2c1";"Indazole";118.15;-2.16;25;
234;"O=C1NCNc2[nH0](c[nH0]c21)[C@@H](O[C@H](CO)[C@H](O)[C@H](O)1)1";"Inosine";268.26;-1.23;25;
235;"Clc1[nH0]c([nH0]c([nH0]1)N(CC)CC)NC(C)C";"Ipazine";243.78;-3.785;26;
236;"Clc1[nH0]c(O[P]([S-])(OCC)OCC)[nH0][nH0]1C(C)C";"Isazofos";313.78;-3.658;26;
237;"O=C(NNCc1ccccc1)c1[nH0]oc(C)c1";"Isocarboxazid";231.28;-2.461;26;
238;"[S-][P@](OCC)(Oc1ccccc1C(=O)OC(C)C)NC(C)C";"Isofenphos";345.44;-4.194;26;
239;"O=C(N[C@@H](C[C@H](C[C@H]([C@@H](CCC[C@H]12)2)2)1)2)N(C)C";"Isonoruron";222.37;-3.01;25;
240;"O=C(Oc1ccccc1C(C)C)NC";"Isoprocarb";193.27;-2.863;26;
#241;"O=[N]([O-])O[C@@H](CO[C@@H]([C@H](O[N](=O)[O-])CO[C@H]12)2)1";"Isosorbidedinitrate";236.16;-2.63;25;
242;"ClC12C(=O)C3(Cl)[C@@](Cl)([C@](Cl)1(C1(Cl)[C@](Cl)2([C@@](Cl)3(C2(Cl)C1(Cl)Cl))))2";"Kepone";490.6;-5.259;26;
243;"O=C(O)[C@H](N)Cc1ccc(O)cc1";"L-tyrosine";181.19;-2.581;24;
244;"O=C1NC=2CCCC=2C(=O)N1C1CCCCC1";"Lenacil";234.33;-4.594;26;
245;"O=C(Nc1c(C)cccc1C)CN(CC)CC";"Lidocaine";234.38;-1.76;25;
246;"Clc1ccc(NC(=O)N(OC)C)cc1Cl";"Linuron";249.11;-3.52;25;
247;"Clc1ccc2NC(=O)[C@H](O)N=C(c2c1)c1ccccc1Cl";"Lorazepam";321.17;-3.6;25;
248;"O=C1O[C@H](C[C@@H](O)C1)CC[C@@H]([C@@H](C)C=CC1=C[C@H](C)C[C@@H](OC(=O)[C@H](C)CC)[C@@H]11)1";"Lovastatin";404.6;-6.005;26;
249;"O=C1OC[C@@H](C=CC(OC)=C(OC)[C@@H]11)1";"Meconin";196.22;-1.899;26;
#250;"O=[N]([O-])c1cc(c(OC(=O)C)c([N](=O)[O-])c1C)C(C)(C)C";"Medinoterbacetate";296.31;-4.47;25;
251;"O=C1C=C2C(C)=C[C@H]([C@@H](CC[C@@](C)(C(=O)C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"Medrogestone";340.55;-5.27;25;
252;"s1c2ccccc2[nH0]c1OCC(=O)N(C)c1ccccc1";"Mefenacet";298.39;-4.873;26;
253;"[S]([O-])([O-])(Nc1cc(NC(=O)C)c(C)cc1C)C(F)(F)F";"Mefluidide";310.33;-3.24;25;
254;"O=C1C=C2C(C)=C[C@H]([C@@H](CC[C@](OC(=O)C)(C(=O)C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"Megestrolacetate";384.56;-5.35;25;
255;"Fc1cccc(c1)C(=O)O";"Meta-fluorobenzoicacid";140.12;-1.97;24;
256;"O=C(N(c1c(C)cccc1C)[C@H](C)C(=O)OC)COC";"Metalaxyl";279.37;-1.601;26;
257;"Clc1ccc(N2OC(=O)N(C)C2=O)cc1Cl";"Methazole";261.07;-2.82;25;
258;"S(C)CC[C@@H](N)C(=O)O";"Methionine";149.24;-0.42;25;
259;"S(C)c1[nH0]c([nH0]c([nH0]1)NC(C)C)NCCCOC";"Methoproptryne";271.44;-2.928;26;
260;"ClC(Cl)(Cl)C(c1ccc(OC)cc1)c1ccc(OC)cc1";"Methoxychlor";345.66;-6.89;25;
261;"O=C(OC)c1cc(O)c(O)c(O)c1";"Methylgallate";184.16;-1.24;25;
262;"O=C(OC)c1ccc(N)cc1";"Methyl-4-aminobenzoate";151.18;-1.59;25;
263;"O=C(OC)c1ccc(O)cc1";"Methyl-4-hydroxybenzoate";152.16;-1.78;25;
264;"O=C1C=C2CC[C@H]([C@@H](CC[C@](OC(=O)C)(C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"Methyltestosteroneacetate";344.54;-5.284;26;
265;"S=C1NC(=O)C=C(N1)C";"Methylthiouracil";142.2;-2.436;26;
266;"Clc1cc(c(OC)cc1N)C(=O)NCCN(CC)CC";"Metoclopramide";299.84;-3.18;25;
267;"Clc1cc2N[C@@H](N(C(=O)c2cc1[S]([O-])([O-])N)c1ccccc1C)C";"Metolazone";365.87;-3.78;25;
268;"Clc1cc(NC(=O)N(C)C)ccc1OC";"Metoxuron";228.7;-2.564;26;
269;"S(C)C1=NN=C(C(=O)N1N)C(C)(C)C";"Metribuzin";214.33;-2.253;26;
#270;"[O-][nH0]1c(N)[nH0]c(N2CCCCC2)cc1N";"Minoxidil";209.29;-1.98;25;
271;"Clc1ccc(NC(=O)N(OC)C)cc1";"Monolinuron";214.67;-2.57;25;
272;"O=C(OC)c1ccccc1O[C@@H](O[C@H](CO[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)1)1)[C@@H](O)[C@@H](O)[C@H](O)1)1";"Monotropitoside";446.45;-0.742;26;
273;"Oc1ccc2C[C@@H](N(C)CC[C@](c2c1O[C@H]([C@H](O)C=C[C@H]12)3)32)1";"Morphine";285.37;-3.28;25;
274;"Br[C@H](O[P]([O-])(OC)OC)C(Br)(Cl)Cl";"Naled";380.78;-2.28;26;
275;"Oc1cccc2c(O)cccc12";"Naphthalene-1,5-diol";160.18;-2.92;25;
276;"O=C(N(CC)CC)[C@@H](Oc1cccc2ccccc12)C";"Napropamide";271.39;-3.57;25;
277;"O=C(O)[C@@H](C)c1ccc2cc(OC)ccc2c1";"Naprosyn";230.28;-4.16;25;
278;"Clc1ccc(NC(=O)N(C)CCCC)cc1Cl";"Neburon";275.2;-4.77;25;
279;"O=C1Nc2c([nH0]ccc2C)N(c2[nH0]cccc21)C1CC1";"Nevirapine";266.33;-3.19;26;
#280;"Clc1ccc(O)c(c1)C(=O)Nc1ccc([N](=O)[O-])cc1Cl";"Niclosamide";327.13;-4.7;25;
281;"O=C(O)c1c[nH0]ccc1";"Nicotinicacid";123.12;-0.84;25;
#282;"O=[N]([O-])c1ccccc1C1C(=C(NC(C)=C1C(=O)OC)C)C(=O)OC";"Nifedipine";346.37;-4.76;26;
283;"FC(F)(F)c1cccc(Nc2[nH0]cccc2C(=O)O)c1";"Niflumicacid";282.24;-4.17;25;
#284;"O=[N]([O-])c1oc(cc1)C=NO";"Nifuroxime";156.11;-2.19;25;
#285;"s1c([nH0]cc1[N](=O)[O-])N1CCNC1=O";"Niridazole";214.23;-3.22;25;
#286;"O=[N]([O-])c1ccc2NC(=O)CN=C(c2c1)c1ccccc1";"Nitrazepam";281.29;-3.8;25;
#287;"O=[N]([O-])c1oc(cc1)C=NN1CC(=O)NC1=O";"Nitrofurantoin";238.18;-3.47;25;
#288;"O=[N]([O-])NC(=N)N";"Nitroguanidine";104.09;-1.37;25;
289;"O=C1NC(=O)[C@@H]([C@H](/C(=C(c2[nH0]cccc2)/c2ccccc2)/[C@H](C=C2[C@](O)(c3[nH0]cccc3)c3ccccc3)[C@H]11)2)1";"Norbormide";511.61;-3.931;26;
290;"O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C#C)[C@](C)(CC[C@@H]3([C@](O)(CC1)2))1)1)3";"Norethisterone";314.46;-4.57;26;
291;"ClC=1C(=O)N(N=CC=1NC)c1cccc(c1)C(F)(F)F";"Norflurazon";303.69;-4.04;25;
292;"O=C1O[C@@H](c2ccc(OC)c(OC)c21)[C@H](N(C)CCc1cc2OCOc2c(OC)c11)1";"Noscapine";413.46;-3.14;25;
293;"Clc1ccc(cc1)C(c1ccccc1Cl)=C(Cl)Cl";"O,p'-DDE";318.02;-6.36;25;
294;"Fc1ccccc1C(=O)O";"Ortho-fluorobenzoicacid";140.12;-1.289;24;
#295;"[S]([O-])([O-])(N)c1cc([N](=O)[O-])c(N(CCC)CCC)c([N](=O)[O-])c1";"Oryzalin";346.41;-5.16;25;
296;"O=C1Oc2c(C=C1)ccc(OC)c2CC=C(C)C";"Osthole";244.31;-4.31;25;
297;"S(C)C(=NOC(=O)NC)C(=O)N(C)C";"Oxamyl";219.3;0.106;26;
298;"[S]1([O-])([O-])CCOC(C)=C1C(=O)Nc1ccccc1";"Oxycarboxin";267.33;-2.43;25;
299;"Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl";"P,p?-DDT";354.48;-7.15;25;
300;"O=C(O)CCCCCCCCCCCCCCC";"Palmiticacid";256.48;-6.81;25;
#301;"[S-][P](OC)(OC)Oc1ccc([N](=O)[O-])cc1";"Parathionmethyl";263.23;-3.68;25;
302;"Clc1ccc(cc1)CN(C(=O)Nc1ccccc1)C1CCCC1";"Pencycuron";328.87;-5.915;26;
303;"Clc1cc(Cl)c(Cl)c(Cl)c1Cl";"Pentachlorobenzene";250.32;-5.65;25;
304;"Clc1c(Cl)c(Cl)c(O)c(Cl)c1Cl";"Pentachlorophenol";266.32;-4.28;25;
305;"Cc1cc(C)c(C)c(C)c1C";"Pentamethylbenzene";148.27;-4;25;
306;"O=C1NC(=O)C(CC)(C(=O)N1)[C@H](C)CCC";"Pentobarbital";226.31;-2.52;25;
307;"O=C(OCCCCC)c1ccc(N)cc1";"Pentyl-4-aminobenzoate";207.3;-3.26;25;
308;"[S]([O-])([O-])(c1ccccc1)c1ccc(N[S]([O-])([O-])C(F)(F)F)c(C)c1";"Perfluidone";379.41;-3.8;25;
309;"S1c2ccccc2N(CCCN2CCC(O)CC2)c2cc(C#N)ccc12";"Pericyazine";365.54;-3.98;25;
310;"c1cc2cccc3c4cccc5cccc(c(c1)c23)c54";"Perylene";252.32;-8.8;25;
311;"O=C(Nc1ccc(OCC)cc1)C";"Phenacetin";179.24;-2.37;25;
312;"c1ccc2c(c1)ccc1ccccc12";"Phenantherene";178.24;-5.26;25;
313;"[nH0]1cc2ccccc2c2ccccc12";"Phenanthridine";179.23;-2.78;25;
314;"[S]([O-])([O-])(NC(=O)NCCCC)c1ccccc1";"Phenbutamide";256.36;-3.05;25;
315;"O=C1OC(c2ccccc21)(c1ccc(O)cc1)c1ccc(O)cc1";"Phenolphthalein";318.34;-2.9;25;
316;"O=C(O)Cc1ccccc1";"Phenylaceticacid";136.16;-0.89;25;
317;"O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccccc1";"Phenylbutazone";308.41;-3.81;25;
318;"ONc1ccccc1";"Phenylhydroxylamine";109.14;-0.74;25;
319;"O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1";"Phenytoin";252.29;-4.097;26;
320;"Clc1ccc2N(CS[P]([S-])(OCC)OCC)C(=O)Oc2c1";"Phosalone";367.84;-5.233;26;
321;"[S-][P](ON=C(C#N)c1ccccc1)(OCC)OCC";"Phoxim";298.33;-4.862;26;
322;"O=C(N)c1ccccc1C(=O)N";"Phthalamide";164.18;-2.92;25;
323;"O=C1OC(=O)c2ccccc21";"Phthalicanhydride";148.12;-1.39;25;
324;"O=C1NC(=O)c2ccccc21";"Phthalimide";147.14;-2.61;25;
325;"c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21";"Picene";278.36;-7.87;26;
#326;"O=[N]([O-])c1cc([N](=O)[O-])c(O)c([N](=O)[O-])c1";"Picricacid";229.11;-1.255;24;
327;"O=C1c2ccccc2C(=O)C1C(=O)C(C)(C)C";"Pindone";230.28;-4.11;25;
328;"O=C(N1CCCCC1)/C=CC=C/c1ccc2OCOc2c1";"Piperine";285.37;-3.46;25;
329;"[S-][P](SCC(=O)N1CCCC[C@H]1(C))(OCCC)OCCC";"Piperophos";353.54;-4.15;26;
330;"O=C(Oc1[nH0]c([nH0]c(C)c1C)N(C)C)N(C)C";"Pirimicarb";238.33;-1.95;25;
331;"[S]1([O-])([O-])N(C)C(=C(O)c2ccccc12)C(=O)Nc1[nH0]cccc1";"Piroxicam";331.38;-4.16;25;
332;"O=C1C=C[C@@](C)(C(=C1)CC[C@H]([C@@H](CC[C@@](O)(C(=O)CO)[C@](C)(C[C@@H](O)[C@@H]12)3)3)1)2";"Prednisolone";360.49;-3.21;25;
333;"O=C1C=C[C@@](C)(C(=C1)CC[C@H]([C@@H](CC[C@@](O)(C(=O)COC(=O)C(C)(C)C)[C@](C)(C[C@@H](O)[C@@H]12)3)3)1)2";"Prednisolone-21-Trimethylacetate";444.62;-4.58;25;
334;"O=C(OCCN(CC)CC)c1ccc(N)cc1";"Procaine";236.35;-1.4;25;
335;"Clc1ccc2Sc3ccccc3N(CCCN3CCN(C)CC3)c2c1";"Prochlorperazine";373.99;-4.4;25;
336;"O=C1C=C2CC[C@H]([C@@H](CC[C@H](C(=O)C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"Progesterone";314.51;-4.43;25;
337;"S1c2ccccc2N(C[C@@H](N(C)C)C)c2ccccc12";"Promethazine";284.46;-4.26;25;
338;"S(C)c1[nH0]c([nH0]c([nH0]1)NC(C)C)NC(C)C";"Prometryn";241.41;-4.1;26;
339;"ClCC(=O)N(c1ccccc1)C(C)C";"Propachlor";211.71;-2.48;25;
340;"[S-][P@](OC)(O/C(/C)=C/C(=O)OC(C)C)NCC";"Propetamphos";281.35;-3.408;26;
341;"O=C(OCCC)c1cc(O)c(O)c(O)c1";"Propylgallate";212.22;-1.78;25;
342;"O=C(OCCC)c1ccc(N)cc1";"Propyl-p-aminobenzoate";179.22;-2.541;24;
343;"O=C(O)c1ccc(O)cc1CCC";"PropylParaben";180.21;-2.635;24;
344;"S=C1NC(=O)C=C(N1)CCC";"Propylthiouracil";170.26;-2.15;25;
345;"O=C1C[C@@H](O)[C@@H](/C=C[C@H](O)CCCCC)[C@H](C/C=CCCCC(=O)O)1";"ProstaglandinE2";352.52;-2.47;25;
346;"ClC=1C(=O)N(N=CC=1N)c1ccccc1";"Pyrazon";221.66;-2.87;25;
347;"c1cc2ccc3cccc4ccc(c1)c2c34";"Pyrene";202.26;-6.19;25;
348;"O=C(Oc1[nH0]([nH0]c(C)c1)c1ccccc1)N(C)C";"Pyrolan";245.31;-2.09;25;
349;"O=C(O)CNC(=N)N";"Quanidinoaceticacid";117.13;-1.51;25;
350;"Clc1cc2N[C@H](NC(=O)c2cc1[S]([O-])([O-])N)CC";"Quinethazone";289.77;-3.29;25;
351;"O=C1C=CC(O)(C=C1)c1cc(O)ccc1O";"Quinhydrone";218.22;-1.73;25;
352;"O[C@@H](c1cc[nH0]c2ccc(OC)cc21)[C@H](N1CC[C@@H](C2)[C@H](C=C)C1)2";"Quinidine";324.46;-3.37;25;
353;"ClC=1C(=O)c2ccccc2C(=O)C=1NC(=O)C(Cl)Cl";"Quinonamid";318.54;-5.03;25;
#354;"Clc1c(Cl)c(Cl)c([N](=O)[O-])c(Cl)c1Cl";"Quintozene";295.32;-5.82;25;
355;"O=C1N(C)c2ccccc2Oc2[nH0]cccc21";"RTI10";226.25;-3.672;26;
356;"O=C1N(C)c2cc(N)ccc2Oc2ccc(C)cc21";"RTI11";254.31;-3.928;26;
357;"Clc1[nH0]c2N(CC)c3[nH0]cccc3C(=O)N(C)c2cc1";"RTI12";288.76;-4.114;26;
358;"O=C1Nc2c([nH0]c(C)cc2C)N(CC)c2[nH0]cccc21";"RTI15";268.35;-4.554;26;
359;"S=C1N(C)c2ccc[nH0]c2N(CC)c2[nH0]cccc21";"RTI16";270.39;-4.634;26;
360;"S=C1N(C)c2ccccc2N(CC)c2[nH0]cccc21";"RTI17";269.4;-4.706;26;
361;"O=C1N(C)c2ccccc2N(CC)c2ccccc21";"RTI19";252.34;-4.749;26;
362;"O=C1N(CC)c2ccc[nH0]c2N(CC)c2[nH0]cccc21";"RTI2";268.35;-2.86;26;
363;"FCCN1c2ccccc2Cc2ccccc2C1=O";"RTI20";255.31;-4.799;26;
364;"O=C1Nc2c(N(CC)c3[nH0]cccc31)cc(N(C)C)cc2C";"RTI22";296.41;-4.871;26;
365;"O=C1Nc2c(N(CC)c3[nH0]cccc31)cc(OC)cc2C";"RTI23";283.36;-5.153;26;
366;"O=C1N(C)c2ccc(C)cc2Oc2[nH0]cc(N)cc21";"RTI3";255.3;-3.043;26;
367;"O=C1N(C)c2ccccc2N(CC)c2[nH0]cccc21";"RTI5";253.33;-3.324;26;
368;"O=C1Nc2ccc([nH0]c2N(CC)c2[nH0]cccc21)N(C)CCO";"RTI6";313.4;-3.36;26;
369;"O=C1N(CC)c2ccccc2Oc2ccccc21";"RTI9";239.29;-3.68;26;
370;"O=C1NC(=O)C(CC)(C2=C[C@H](CC[C@@H](C2)C2)2)C(=O)N1";"Reposal";262.34;-2.64;25;
371;"O=C1N(C)c2ccc[nH0]c2N(CC)c2[nH0]cccc21";"Reversetranscriptaseinhibitor1";254.32;-2.62;26;
372;"Clc1cc(Cl)c(O[P]([S-])(OC)OC)cc1Cl";"Ronnel";321.55;-5.72;25;
373;"O=C1c2ccc3O[C@@H](Cc3c2O[C@H](COc2cc(OC)c(OC)cc2[C@H]11)1)C(=C)C";"Rotenone";394.45;-4.42;25;
374;"Clc1cc(Cl)cc(N2C(=O)N(CC2=O)C(=O)NC(C)C)c1";"Rovral";330.19;-4.376;26;
375;"O=C(O)[C@H](N)Cc1ccccc1";"S-phenylalanine";165.19;-0.781;24;
376;"OCc1cc(ccc1O)[C@H](O)CNC(C)(C)C";"Salbutamol";239.35;-1.22;25;
377;"OCc1ccccc1O[C@@H](O[C@H](CO)[C@@H](O)[C@@H](O)[C@H](O)1)1";"Salicin";286.31;-0.85;25;
378;"OCc1ccccc1O";"Salicylalcohol";124.15;-0.29;25;
379;"O=C(Nc1ccccc1)c1ccccc1O";"Salicylanilide";213.25;-3.59;25;
380;"O=C(O)c1ccccc1O";"Salicylicacid";138.13;-1.82;25;
381;"O=C1C=C[C@@](C)(CC[C@H]([C@@H](OC(=O)[C@H](C)2)C3=C1C)2)3";"Santonin";246.33;-3.09;25;
382;"ClC(Cl)(Cl)[C@H](NC=O)N1C=CN(C=C1)[C@H](NC=O)C(Cl)(Cl)Cl";"Saprol";430.94;-4.19;26;
383;"O=C1NC(=O)C(CC=C)(C(=O)N1)[C@@H](C)CCC";"Secobarbital";238.32;-2.356;26;
384;"O=C(O)[C@H](N)CO";"Serine";105.09;0.452;24;
385;"O=C(Nc1ccccc1)N[C@H](CCCC[C@@H](C)1)1";"Siduron";232.36;-4.11;25;
386;"S(C)c1[nH0]c([nH0]c([nH0]1)N(C)C)N(C)C";"Simetryn";213.35;-2.676;26;
387;"O=C(O)/C=CC=C/C";"Sorbicacid";112.14;-1.77;25;
388;"S(C)C[S]([O-])C[C@H](NC(=O)/C=CC=1C(=O)NC(=O)NC=1C)CO";"Sparsomycin";361.49;-1.981;26;
389;"N12C[C@H](C[C@H](CN3CCCC[C@@H]33)[C@H]2(CCCC1))3";"Sparteine";234.43;-1.89;25;
390;"O=C(OCCN(CC)CC)c1ccc(OCCCC)cc1";"Stadacaine";293.45;-3.84;25;
391;"O=C1CC[C@@](C)([C@@H](CC[C@H]([C@@H](CC[C@H](O)[C@](C)(CC[C@@H]23)4)4)2)C1)3";"Stanolone";290.49;-4.743;26;
392;"Cl/C=C(O[P]([O-])(OC)OC)/c1cc(Cl)c(Cl)cc1Cl";"Stirofos";365.96;-4.522;26;
393;"O=C1N2c3ccccc3[C@@](CCN3CC4=CCO[C@H](C1)[C@@H]([C@@H](C[C@H]31)4)[C@H]22)12";"Strychnine";334.45;-3.32;25;
#394;"O=[N]([O-])c1cc([N](=O)[O-])c(O)c([N](=O)[O-])c1O";"Styphnicacid";245.11;-1.659;24;
395;"O=C(O)CCCCCCC(=O)O";"Subericacid";174.2;-1.293;24;
396;"O=C(O)CCC(=O)O";"Succinicacid";118.1;-0.2;25;
397;"O=C1NC(=O)CC1";"Succinimide";99.1;0.3;25;
398;"s1cccc1CCN1CCC(N(c2ccccc2)C(=O)CC)(CC1)COC";"Sufentanil";386.61;-3.71;25;
399;"[S]([O-])([O-])(Nc1[nH0]c(OC)[nH0]c(OC)c1)c1ccc(N)cc1";"Sulfadimethoxine";310.37;-2.96;25;
400;"s1c([nH0][nH0]c1CC)N[S]([O-])([O-])c1ccc(N)cc1";"Sulfaethidole";284.4;-1.94;25;
401;"[S]([O-])([O-])(NC(=N)N)c1ccc(N)cc1";"Sulfaguanidine";214.28;-1.99;25;
402;"[S]([O-])([O-])(Nc1[nH0]ccc([nH0]1)C)c1ccc(N)cc1";"Sulfamerazine";264.34;-2.85;25;
403;"[S]([O-])([O-])(Nc1[nH0]cc(OC)c[nH0]1)c1ccc(N)cc1";"Sulfameter";280.34;-2.58;25;
404;"s1c([nH0][nH0]c1C)N[S]([O-])([O-])c1ccc(N)cc1";"Sulfamethiazole";270.37;-2.41;25;
405;"[S]([O-])([O-])(Nc1[nH0][nH0]c(OC)cc1)c1ccc(N)cc1";"Sulfamethoxypyridazine";280.34;-3.28;25;
406;"[S]([O-])([O-])(Nc1[nH0]cc(C)c[nH0]1)c1ccc(N)cc1";"Sulfaperine";264.34;-2.82;25;
407;"[S]([O-])([O-])(Nc1[nH0]([nH0]cc1)c1ccccc1)c1ccc(N)cc1";"Sulfaphenazole";314.4;-2.32;25;
408;"s1cc[nH0]c1N[S]([O-])([O-])c1ccc(N)cc1";"Sulfathiozole";255.35;-2.43;25;
409;"[S]([O-])([O-])(Nc1o[nH0]c(C)c1C)c1ccc(N)cc1";"Sulfisoxazole";267.34;-2.91;25;
410;"[S]([O-])(N(c1o[nH0]c(C)c1C)C(=O)C)c1ccc(N)cc1";"Sulfisoxazoleacetyl";293.38;-3.59;26;
411;"O=C1NC(=O)C(CC=C)(C(=O)N1)[C@@H](C)CC";"Talbutal";224.29;-2.016;26;
412;"O(C)c1[nH0]c([nH0]c([nH0]1)NC(C)(C)C)NCC";"Terbumeton";225.34;-3.239;26;
413;"S(C)c1[nH0]c([nH0]c([nH0]1)NC(C)(C)C)NCC";"Terbutryne";241.41;-4;25;
414;"O=C1C=C2CC[C@H]([C@@H](CC[C@H](O)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"Testosterone";288.47;-4.09;25;
415;"O=C1C=C2CC[C@H]([C@@H](CC[C@H](OC(=O)CC)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"Testosteronepropionate";344.54;-5.37;25;
416;"BrC(Br)(Br)Br";"Tetrabromomethane";331.61;-3.14;25;
417;"CCCCCCCCCCCCCC";"Tetradecane";198.44;-7.96;26;
418;"O=C(O)CCCCCCCCCCCCC";"Tetradecanoicacid";228.42;-5.33;25;
419;"Cl/C(=C[C@H]([C@@H](C(=O)OCc1c(F)c(F)c(C)c(F)c1F)C1(C)C)1)/C(F)(F)F";"Tetrafluthrin";418.76;-7.321;26;
420;"O=C1C=C[C@@H]([C@@H](N(C)CC[C@](C1)(c1c(ccc(OC)c1O)C1)2)1)2";"ThebainoneA";299.4;-1.87;25;
421;"O=C1NC(=O)c2[nH0](C)c[nH0]c2N1C";"Theobromine";180.19;-2.523;26;
422;"O=C1N(C)c2[nH0]c[nH]c2C(=O)N1C";"Theophylline";180.17;-1.381;24;
423;"ClC(Cl)C(=O)N[C@@H](CO)[C@@H](O)c1ccc([S]([O-])([O-])C)cc1";"Thiamphenicol";356.25;-2.154;26;
424;"S=C1NC(=O)C(CC=C)(C(=O)N1)[C@@H](C)CCC";"Thiamylal";254.39;-3.46;25;
425;"S(C)CC(=NOC(=O)NC)C(C)(C)C";"Thiofanox";218.36;-1.62;25;
426;"[S-][P](SCCSCC)(OC)OC";"Thiometon";246.39;-3.091;26;
427;"s1ccc(c1)C(=O)O";"Thiophene-3-carboxylicacid";128.16;-1.47;25;
428;"S=C(N)N";"Thiourea";76.14;0.32;25;
429;"S=C(SSC(=S)N(C)C)N(C)C";"Thiram";240.48;-3.9;25;
430;"[S]([O-])([O-])(NC(=O)NCCCC)c1ccc(C)cc1";"Tolbutamide";270.39;-3.39;25;
431;"Cl[C@@H](C(=NOC(=O)NC)[C@H](C[C@H](C[C@H](C#N)1)2)1)2";"Tranid";241.7;-2.08;25;
432;"Clc1ccc(O[C@H]([nH0]2[nH0]c[nH0]c2)C(=O)C(C)(C)C)cc1";"Triadimefon";293.78;-3.61;25;
433;"F[C@]([C@H](O)C[C@](C)([C@H](C[C@@H](O)[C@@](O)(C(=O)CO)1)[C@H](CCC2=CC(=O)C=C[C@@](C)22)3)1)32";"Triamcinolone";394.48;-3.69;25;
434;"F[C@]([C@H](O)C[C@](C)([C@H](C[C@H](OC(O[C@@](C(=O)CO)12)(C)C)1)[C@H](CCC1=CC(=O)C=C[C@@](C)11)3)2)31";"Triamcinoloneacetonide";434.55;-4.32;25;
435;"Nc1[nH0]c(N)c2[nH0]c(c(N)[nH0]c2[nH0]1)c1ccccc1";"Triamterene";253.3;-2.404;26;
436;"Clc1ccc2[nH0]3c([nH0][nH0]c3C)CN=C(c2c1)c1ccccc1Cl";"Triazolam";343.23;-4.08;25;
437;"Clc1cc(Cl)c(O[P@]([S-])(OCC)CC)cc1Cl";"Trichloronate";333.61;-5.752;26;
438;"Clc1ccc(Oc2ccc(Cl)cc2O)c(Cl)c1";"Triclosan";289.54;-4.46;25;
439;"[P@]([O-])(Oc1ccc(C)cc1)(Oc1cccc(C)c1)Oc1ccccc1C";"Tricresylphosphate";368.39;-6.01;26;
440;"S1c2cccc(C)c2[nH0]2c[nH0][nH0]c12";"Tricyclazole";189.26;-2.07;25;
441;"FC(F)(F)c1ccccc1C(=O)O";"Trifluoro-o-toluicacid";190.13;-1.6;25;
442;"ClC(Cl)(Cl)[C@H](NC=O)N1CCN(CC1)[C@@H](NC=O)C(Cl)(Cl)Cl";"Triforine";434.98;-4.19;25;
443;"O=C(OCC(O)(C)C)N1CCN(CC1)c1[nH0]c(N)c2cc(OC)c(OC)c(OC)c2[nH0]1";"Trimazosin";435.54;-3.638;26;
